0 0.898192 0.101138 0.000670455
0.1 0.896366 0.102285 0.00134853
0.2 0.894524 0.103442 0.00203428
0.3 0.892665 0.104607 0.00272777
0.4 0.890789 0.105782 0.00342906
0.5 0.888896 0.106966 0.00413821
0.6 0.886986 0.108159 0.00485529
0.7 0.885058 0.109361 0.00558035
0.8 0.883114 0.110572 0.00631346
0.9 0.881153 0.111793 0.00705467
1 0.879174 0.113022 0.00780405
1.1 0.877178 0.11426 0.00856166
1.2 0.875165 0.115508 0.00932754
1.3 0.873134 0.116764 0.0101018
1.4 0.871087 0.118029 0.0108844
1.5 0.869022 0.119303 0.0116755
1.6 0.86694 0.120585 0.0124751
1.7 0.86484 0.121876 0.0132833
1.8 0.862723 0.123176 0.0141002
1.9 0.86059 0.124485 0.0149257
2 0.858438 0.125802 0.01576
2.1 0.85627 0.127127 0.0166031
2.2 0.854084 0.128461 0.017455
2.3 0.851881 0.129803 0.0183159
2.4 0.849661 0.131153 0.0191858
2.5 0.847424 0.132512 0.0200646
2.6 0.845169 0.133878 0.0209526
2.7 0.842898 0.135253 0.0218497
2.8 0.840609 0.136635 0.022756
2.9 0.838304 0.138025 0.0236715
3 0.835981 0.139423 0.0245963
3.1 0.833641 0.140828 0.0255305
3.2 0.831285 0.142241 0.0264741
3.3 0.828912 0.143661 0.0274271
3.4 0.826522 0.145089 0.0283896
3.5 0.824115 0.146523 0.0293616
3.6 0.821692 0.147965 0.0303432
3.7 0.819252 0.149414 0.0313345
3.8 0.816795 0.150869 0.0323354
3.9 0.814323 0.152331 0.0333461
4 0.811833 0.1538 0.0343665
4.1 0.809328 0.155275 0.0353968
4.2 0.806807 0.156756 0.0364369
4.3 0.804269 0.158244 0.0374869
4.4 0.801716 0.159737 0.0385468
4.5 0.799147 0.161237 0.0396167
4.6 0.796562 0.162741 0.0406966
4.7 0.793961 0.164252 0.0417866
4.8 0.791346 0.165768 0.0428867
4.9 0.788714 0.167289 0.0439969
5 0.786068 0.168815 0.0451172
5.1 0.783406 0.170346 0.0462477
5.2 0.78073 0.171882 0.0473885
5.3 0.778039 0.173422 0.0485395
5.4 0.775333 0.174966 0.0497008
5.5 0.772612 0.176515 0.0508724
5.6 0.769878 0.178068 0.0520543
5.7 0.767129 0.179624 0.0532466
5.8 0.764366 0.181185 0.0544493
5.9 0.761589 0.182748 0.0556624
6 0.758799 0.184315 0.056886
